"","Spectra from Area #1-Spectrum","Spectra from Area #1-Background","Spectra from Area #1-Modeled","Spectra from Area #1-Residual"
"Energy","Intensity","Intensity","Intensity","Intensity"
"eV","Counts","Counts","Counts","Counts"
-4.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-7.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.025000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.075000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.125000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.175000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.225000e+02,2.580000e+02,7.847594e+01,4.597546e+02,-2.017546e+02
1.275000e+02,2.600000e+02,7.953642e+01,5.213641e+02,-2.613641e+02
1.325000e+02,2.220000e+02,8.059691e+01,5.802628e+02,-3.582628e+02
1.375000e+02,1.820000e+02,8.165739e+01,6.331284e+02,-4.511284e+02
1.425000e+02,2.190000e+02,8.271788e+01,6.767117e+02,-4.577117e+02
1.475000e+02,2.040000e+02,8.377837e+01,7.083589e+02,-5.043589e+02
1.525000e+02,2.180000e+02,8.483885e+01,7.257275e+02,-5.077275e+02
1.575000e+02,1.800000e+02,8.589934e+01,7.278083e+02,-5.478083e+02
1.625000e+02,2.080000e+02,8.695982e+01,7.146198e+02,-5.066198e+02
1.675000e+02,2.190000e+02,8.802031e+01,6.873274e+02,-4.683274e+02
1.725000e+02,2.330000e+02,8.908080e+01,6.481323e+02,-4.151323e+02
1.775000e+02,2.080000e+02,9.014128e+01,6.000598e+02,-3.920598e+02
1.825000e+02,2.270000e+02,9.120177e+01,5.466472e+02,-3.196472e+02
1.875000e+02,2.370000e+02,9.226225e+01,4.916538e+02,-2.546538e+02
1.925000e+02,2.190000e+02,9.332274e+01,4.387452e+02,-2.197452e+02
1.975000e+02,2.230000e+02,9.438322e+01,3.912487e+02,-1.682487e+02
2.025000e+02,2.700000e+02,9.544371e+01,3.519761e+02,-8.197607e+01
2.075000e+02,2.510000e+02,9.650420e+01,3.231204e+02,-7.212042e+01
2.125000e+02,2.770000e+02,9.756468e+01,3.062136e+02,-2.921356e+01
2.175000e+02,2.900000e+02,9.862517e+01,3.021251e+02,-1.212509e+01
2.225000e+02,3.200000e+02,9.968565e+01,3.110790e+02,8.920959e+00
2.275000e+02,3.550000e+02,1.007461e+02,3.326718e+02,2.232822e+01
2.325000e+02,4.170000e+02,1.018066e+02,3.659272e+02,5.107275e+01
2.375000e+02,4.280000e+02,1.028671e+02,4.091666e+02,1.883344e+01
2.425000e+02,4.930000e+02,1.039276e+02,4.602096e+02,3.279041e+01
2.475000e+02,5.720000e+02,1.049881e+02,5.163225e+02,5.567749e+01
2.525000e+02,6.590000e+02,1.060486e+02,5.743464e+02,8.465356e+01
2.575000e+02,7.330000e+02,1.071091e+02,6.308531e+02,1.021469e+02
2.625000e+02,7.840000e+02,1.081695e+02,6.823903e+02,1.016097e+02
2.675000e+02,8.380000e+02,1.092300e+02,7.256827e+02,1.123173e+02
2.725000e+02,8.870000e+02,1.102905e+02,7.579967e+02,1.290033e+02
2.775000e+02,8.030000e+02,1.113510e+02,7.773464e+02,2.565363e+01
2.825000e+02,8.280000e+02,1.124115e+02,7.824627e+02,4.553729e+01
2.875000e+02,7.470000e+02,1.134720e+02,7.739713e+02,-2.697131e+01
2.925000e+02,6.840000e+02,1.145325e+02,7.525559e+02,-6.855591e+01
2.975000e+02,5.980000e+02,1.155929e+02,7.202589e+02,-1.222589e+02
3.025000e+02,5.130000e+02,1.166534e+02,6.798246e+02,-1.668246e+02
3.075000e+02,4.360000e+02,1.177139e+02,6.344129e+02,-1.984129e+02
3.125000e+02,4.160000e+02,1.187744e+02,5.872813e+02,-1.712813e+02
3.175000e+02,3.990000e+02,1.198349e+02,5.414763e+02,-1.424763e+02
3.225000e+02,3.820000e+02,1.208954e+02,4.995722e+02,-1.175722e+02
3.275000e+02,4.100000e+02,1.219559e+02,4.634833e+02,-5.348328e+01
3.325000e+02,4.470000e+02,1.230163e+02,4.343643e+02,1.263568e+01
3.375000e+02,4.720000e+02,1.240768e+02,4.125950e+02,5.940497e+01
3.425000e+02,5.800000e+02,1.251373e+02,3.978514e+02,1.821486e+02
3.475000e+02,5.880000e+02,1.261978e+02,3.892294e+02,1.987706e+02
3.525000e+02,6.490000e+02,1.272583e+02,3.854109e+02,2.635891e+02
3.575000e+02,6.820000e+02,1.283188e+02,3.848441e+02,2.971559e+02
3.625000e+02,7.150000e+02,1.293793e+02,3.859199e+02,3.290801e+02
3.675000e+02,7.160000e+02,1.304397e+02,3.871263e+02,3.288737e+02
3.725000e+02,7.240000e+02,1.315002e+02,3.871711e+02,3.368289e+02
3.775000e+02,6.530000e+02,1.325607e+02,3.850657e+02,2.679343e+02
3.825000e+02,6.670000e+02,1.336212e+02,3.801683e+02,2.868317e+02
3.875000e+02,5.950000e+02,1.346817e+02,3.725315e+02,2.224685e+02
3.925000e+02,5.080000e+02,1.357422e+02,3.617701e+02,1.462299e+02
3.975000e+02,4.690000e+02,1.368027e+02,3.484544e+02,1.205456e+02
