NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.61565118316729,1698.83403747961,0,,
1695.39684472051,1.61750986073279,1695.39684472051,0,,
1691.9596519614,1.61936305512811,1691.9596519614,0,,
1688.52245920229,1.62121078778578,1688.52245920229,0,,
1685.08526644319,1.62305308001371,1685.08526644319,0,,
1681.64807368408,1.62488995299703,1681.64807368408,0,,
1678.21088092498,1.62672142779987,1678.21088092498,0,,
1674.77368816587,1.6285475253671,1674.77368816587,0,,
1671.33649540676,1.63036826652607,1671.33649540676,0,,
1667.89930264766,1.63218367198839,1667.89930264766,0,,
1664.46210988855,1.63399376235159,1664.46210988855,0,,
1661.02491712944,1.6357985581009,1661.02491712944,0,,
1657.58772437034,1.63759807961085,1657.58772437034,0,,
1654.15053161123,1.63939234714704,1654.15053161123,0,,
1650.71333885212,1.64118138086775,1650.71333885212,0,,
1647.27614609302,1.64296520082563,1647.27614609302,0,,
1643.83895333391,1.64474382696933,1643.83895333391,0,,
1640.4017605748,1.64651727914511,1640.4017605748,0,,
1636.9645678157,1.64828557709853,1636.9645678157,0,,
1633.52737505659,1.650048740476,1633.52737505659,0,,
1630.09018229748,1.65180678882639,1630.09018229748,0,,
1626.65298953838,1.65355974160265,1626.65298953838,0,,
1623.21579677927,1.65530761816339,1623.21579677927,0,,
1619.77860402017,1.65705043777443,1619.77860402017,0,,
1616.34141126106,1.65878821961037,1616.34141126106,0,,
1612.90421850195,1.66052098275618,1612.90421850195,0,,
1609.46702574284,1.6622487462087,1609.46702574284,0,,
1606.02983298374,1.66397152887822,1606.02983298374,0,,
1602.59264022463,1.66568934958999,1602.59264022463,0,,
1599.15544746553,1.66740222708577,1599.15544746553,0,,
1595.71825470642,1.66911018002534,1595.71825470642,0,,
1592.28106194731,1.67081322698799,1592.28106194731,0,,
1588.84386918821,1.67251138647407,1588.84386918821,0,,
1585.4066764291,1.67420467690647,1585.4066764291,0,,
1581.96948366999,1.6758931166321,1581.96948366999,0,,
1578.53229091089,1.67757672392343,1578.53229091089,0,,
1575.09509815178,1.67925551697993,1575.09509815178,0,,
1571.65790539267,1.68092951392959,1571.65790539267,0,,
1568.22071263357,1.68259873283035,1568.22071263357,0,,
1564.78351987446,1.68426319167164,1564.78351987446,0,,
1561.34632711535,1.68592290837581,1561.34632711535,0,,
1557.90913435625,1.68757790079961,1557.90913435625,0,,
1554.47194159714,1.68922818673565,1554.47194159714,0,,
1551.03474883804,1.69087378391388,1551.03474883804,0,,
1547.59755607893,1.69251471000304,1547.59755607893,0,,
1544.16036331982,1.69415098261212,1544.16036331982,0,,
1540.72317056072,1.69578261929185,1540.72317056072,0,,
1537.28597780161,1.69740963753609,1537.28597780161,0,,
1533.8487850425,1.69903205478339,1533.8487850425,0,,
1530.4115922834,1.70064988841833,1530.4115922834,0,,
1526.97439952429,1.70226315577309,1526.97439952429,0,,
1523.53720676518,1.70387187412882,1523.53720676518,0,,
1520.10001400608,1.70547606071718,1520.10001400608,0,,
1516.66282124697,1.70707573272171,1516.66282124697,0,,
1513.22562848786,1.70867090727938,1513.22562848786,0,,
1509.78843572876,1.71026160148201,1509.78843572876,0,,
1506.35124296965,1.71184783237772,1506.35124296965,0,,
1502.91405021054,1.71342961697245,1502.91405021054,0,,
1499.47685745144,1.71500697223139,1499.47685745144,0,,
1496.03966469233,1.71657991508047,1496.03966469233,0,,
1492.60247193323,1.71814846240786,1492.60247193323,0,,
1489.16527917412,1.71971263106539,1489.16527917412,0,,
1485.72808641501,1.72127243787014,1485.72808641501,0,,
1482.29089365591,1.72282789960582,1482.29089365591,0,,
1478.8537008968,1.72437903302436,1478.8537008968,0,,
1475.41650813769,1.72592585484738,1475.41650813769,0,,
1471.97931537859,1.72746838176767,1471.97931537859,0,,
1468.54212261948,1.72900663045075,1468.54212261948,0,,
1465.10492986037,1.7305406175364,1465.10492986037,0,,
1461.66773710127,1.73207035964013,1461.66773710127,0,,
1458.23054434216,1.7335958733548,1458.23054434216,0,,
1454.79335158305,1.7351171752521,1454.79335158305,0,,
1451.35615882395,1.73663428188415,1451.35615882395,0,,
1447.91896606484,1.73814720978503,1447.91896606484,0,,
1444.48177330573,1.73965597547239,1444.48177330573,0,,
1441.04458054663,1.741160595449,1441.04458054663,0,,
1437.60738778752,1.74266108620439,1437.60738778752,0,,
1434.17019502842,1.74415746421639,1434.17019502842,0,,
1430.73300226931,1.74564974595283,1430.73300226931,0,,
1427.2958095102,1.74713794787308,1427.2958095102,0,,
1423.8586167511,1.74862208642976,1423.8586167511,0,,
1420.42142399199,1.75010217807039,1420.42142399199,0,,
1416.98423123288,1.75157823923901,1416.98423123288,0,,
1413.54703847378,1.75305028637789,1413.54703847378,0,,
1410.10984571467,1.75451833592927,1410.10984571467,0,,
1406.67265295556,1.75598240433697,1406.67265295556,0,,
1403.23546019646,1.75744250804824,1403.23546019646,0,,
1399.79826743735,1.75889866351539,1399.79826743735,0,,
1396.36107467824,1.76035088719764,1396.36107467824,0,,
1392.92388191914,1.76179919556283,1392.92388191914,0,,
1389.48668916003,1.76324360508926,1389.48668916003,0,,
1386.04949640092,1.76468413226749,1386.04949640092,0,,
1382.61230364182,1.76612079360216,1382.61230364182,0,,
1379.17511088271,1.76755360561387,1379.17511088271,0,,
1375.73791812361,1.76898258484102,1375.73791812361,0,,
1372.3007253645,1.77040774784174,1372.3007253645,0,,
1368.86353260539,1.77182911119578,1368.86353260539,0,,
1365.42633984629,1.77324669150646,1365.42633984629,0,,
1361.98914708718,1.77466050540263,1361.98914708718,0,,
1358.55195432807,1.77607056954066,1358.55195432807,0,,
1355.11476156897,1.77747690060644,1355.11476156897,0,,
1351.67756880986,1.77887951531741,1351.67756880986,0,,
1348.24037605075,1.78027843042467,1348.24037605075,0,,
1344.80318329165,1.78167366271501,1344.80318329165,0,,
1341.36599053254,1.78306522901305,1341.36599053254,0,,
1337.92879777343,1.7844531461834,1337.92879777343,0,,
1334.49160501433,1.78583743113281,1334.49160501433,0,,
1331.05441225522,1.7872181008124,1331.05441225522,0,,
1327.61721949611,1.78859517221989,1327.61721949611,0,,
1324.18002673701,1.78996866240183,1324.18002673701,0,,
1320.7428339779,1.791338588456,1320.7428339779,0,,
